Country,Year,Total Net Electrical Capacity [MW],Nuclear Electricity Supplied [GW.h],Nuclear Share [%]
ARGENTINA,2016,1632,7677.36,5.6
ARMENIA,2016,375,2194.85,31.4
BELGIUM,2016,5913,41430.45,51.7
BRAZIL,2016,1884,14970.46,2.9
BULGARIA,2016,1926,15083.45,35
CANADA,2016,13554,95650.19,15.6
CHINA,2016,31384,197829.04,3.6
CZECH REPUBLIC,2016,3930,22729.87,29.4
FINLAND,2016,2764,22280.1,33.7
FRANCE,2016,63130,386452.88,72.3
GERMANY,2016,10799,80069.61,13.1
HUNGARY,2016,1889,15183.01,51.3
INDIA,2016,6240,35006.83,3.4
"IRAN, ISLAMIC REPUBLIC OF",2016,915,5923.97,2.1
JAPAN,2016,40290,17537.14,2.2
"KOREA, REPUBLIC OF",2016,23077,154306.65,30.3
MEXICO,2016,1552,10272.29,6.2
NETHERLANDS,2016,482,3749.81,3.4
PAKISTAN,2016,1005,5438.9,4.4
ROMANIA,2016,1300,10388.2,17.1
RUSSIA,2016,26527,184054.09,17.1
SLOVAKIA,2016,1814,13733.35,54.1
SLOVENIA,2016,688,5431.27,35.2
SOUTH AFRICA,2016,1860,15209.47,6.6
SPAIN,2016,7121,56102.44,21.4
SWEDEN,2016,9740,60647.4,40
SWITZERLAND,2016,3333,20303.12,34.4
UKRAINE,2016,13107,76077.79,52.3
UNITED KINGDOM,2016,8918,65148.98,19.3
UNITED STATES OF AMERICA,2016,100333,805960.29,19.7
GLOBAL,2016,387482,2446843.26,10.5